experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,31,1.1097555858699821,stagnation
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,1,20,3.7509081300056954e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,701,0.9559205582018797,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,1,26,3.8912493953104625e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,0,701,1.153145146932055,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.04,41,6,0.14634146341463414,1,33,3.305749932068469e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,30,4.290657156340727e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,15,4.5508023114100415e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,17,4.321044851174548e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,0,701,1.8072905426842187,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,19,4.044065167856299e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,14,6.046915373220648e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,15,3.616618347736723e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,0,701,0.8828934913396499,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,0,702,1.1007239047588178,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.06,62,7,0.11290322580645161,1,13,2.940735732368397e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,24,3.732547609492648e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,0,26,1.0680277536418628,stagnation
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,21,3.42919728983599e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.06,62,8,0.12903225806451613,1,16,3.243313638233391e-05,residual_small
