algorithm,bound_model,delta,rho,mu_at_rho
SNIHT,surrogate_arip_v1,0.24,0.00022458285093307495,0.9999935594412127
SNIHT,surrogate_arip_v1,0.25,0.0002375766634941101,0.999992946090367
SNIHT,surrogate_arip_v1,0.26,0.000250793993473053,0.9999897421175141
SNIHT,surrogate_arip_v1,0.27,0.00026423484086990356,0.9999929626351834
SNIHT,surrogate_arip_v1,0.28,0.00027789175510406494,0.9999942769673107
SNIHT,surrogate_arip_v1,0.29,0.0002917572855949402,0.9999865907427099
SNIHT,surrogate_arip_v1,0.3,0.0003058388829231262,0.9999914994764761
SNIHT,surrogate_arip_v1,0.31,0.0003201216459274292,0.9999869033684704
SNIHT,surrogate_arip_v1,0.32,0.00033461302518844604,0.9999921828209232
SNIHT,surrogate_arip_v1,0.33,0.00034930557012557983,0.9999990863382757
SNIHT,surrogate_arip_v1,0.34,0.0003641843795776367,0.9999888972098728
SNIHT,surrogate_arip_v1,0.35,0.00037926435470581055,0.9999903193496698
SNIHT,surrogate_arip_v1,0.36,0.0003945380449295044,0.9999953702668479
SNIHT,surrogate_arip_v1,0.37,0.00040999799966812134,0.9999971163214518
SNIHT,surrogate_arip_v1,0.38,0.0004256442189216614,0.9999994583532381
SNIHT,surrogate_arip_v1,0.39,0.0004414692521095276,0.9999960664844684
SNIHT,surrogate_arip_v1,0.4,0.0004574805498123169,0.9999998921586194
SNIHT,surrogate_arip_v1,0.41,0.00047366321086883545,0.9999952619630377
SNIHT,surrogate_arip_v1,0.42,0.0004900246858596802,0.9999943941960753
SNIHT,surrogate_arip_v1,0.43,0.0005065649747848511,0.9999995113031114
SNIHT,surrogate_arip_v1,0.44,0.0005232691764831543,0.999996316971721
SNIHT,surrogate_arip_v1,0.45,0.0005401447415351868,0.9999957191129113
SNIHT,surrogate_arip_v1,0.46,0.0005571916699409485,0.999999661974715
SNIHT,surrogate_arip_v1,0.47,0.0005743950605392456,0.9999950772991257
SNIHT,surrogate_arip_v1,0.48,0.000591769814491272,0.9999989622456904
SNIHT,surrogate_arip_v1,0.49,0.0006093010306358337,0.9999985654909729
SNIHT,surrogate_arip_v1,0.5,0.0006269887089729309,0.9999960113236392
SNIHT,surrogate_arip_v1,0.51,0.0006448403000831604,0.9999997158457511
SNIHT,surrogate_arip_v1,0.52,0.0006628409028053284,0.9999980088888054
SNIHT,surrogate_arip_v1,0.53,0.0006809979677200317,0.9999990534404567
SNIHT,surrogate_arip_v1,0.54,0.0006993040442466736,0.9999980394966501
SNIHT,surrogate_arip_v1,0.55,0.0007177591323852539,0.9999965115248387
SNIHT,surrogate_arip_v1,0.56,0.0007363632321357727,0.9999958334945848
SNIHT,surrogate_arip_v1,0.57,0.00075511634349823,0.9999972091928816
SNIHT,surrogate_arip_v1,0.58,0.0007740110158920288,0.9999962364330907
SNIHT,surrogate_arip_v1,0.59,0.0007930546998977661,0.9999995760647726
SNIHT,surrogate_arip_v1,0.6,0.000812232494354248,0.9999976214017053
SNIHT,surrogate_arip_v1,0.61,0.0008315518498420715,0.9999968909599418
SNIHT,surrogate_arip_v1,0.62,0.0008510127663612366,0.9999983240439791
SNIHT,surrogate_arip_v1,0.63,0.0008706077933311462,0.9999978988696023
SNIHT,surrogate_arip_v1,0.64,0.0008903369307518005,0.9999966810243431
SNIHT,surrogate_arip_v1,0.65,0.0009102001786231995,0.9999956286302116
SNIHT,surrogate_arip_v1,0.66,0.000930197536945343,0.9999956028181797
SNIHT,surrogate_arip_v1,0.67,0.0009503290057182312,0.9999973770990775
SNIHT,surrogate_arip_v1,0.68,0.0009705871343612671,0.9999972886803221
SNIHT,surrogate_arip_v1,0.69,0.0009909719228744507,0.999996229086493
SNIHT,surrogate_arip_v1,0.7,0.001011490821838379,0.9999991873119952
SNIHT,surrogate_arip_v1,0.71,0.001032128930091858,0.9999984501733029
SNIHT,surrogate_arip_v1,0.72,0.0010528936982154846,0.9999989481625584
SNIHT,surrogate_arip_v1,0.73,0.0010737776756286621,0.9999973430937967
SNIHT,surrogate_arip_v1,0.74,0.0010947883129119873,0.9999982673730424
SNIHT,surrogate_arip_v1,0.75,0.0011159181594848633,0.9999984146875068
SNIHT,surrogate_arip_v1,0.76,0.00113716721534729,0.9999984335764316
SNIHT,surrogate_arip_v1,0.77,0.0011585354804992676,0.999998916110526
SNIHT,surrogate_arip_v1,0.78,0.001180015504360199,0.9999968188112525
SNIHT,surrogate_arip_v1,0.79,0.001201622188091278,0.9999998665067856
SNIHT,surrogate_arip_v1,0.8,0.0012233331799507141,0.9999979445091879
SNIHT,surrogate_arip_v1,0.81,0.001245163381099701,0.9999986183417697
SNIHT,surrogate_arip_v1,0.82,0.0012671053409576416,0.999998912339153
SNIHT,surrogate_arip_v1,0.83,0.0012891590595245361,0.9999993263858415
SNIHT,surrogate_arip_v1,0.84,0.0013113170862197876,0.999997094999946
SNIHT,surrogate_arip_v1,0.85,0.0013335943222045898,0.9999991440856889
SNIHT,surrogate_arip_v1,0.86,0.001355975866317749,0.9999994622662168
SNIHT,surrogate_arip_v1,0.87,0.0013784617185592651,0.9999985580969827
SNIHT,surrogate_arip_v1,0.88,0.001401059329509735,0.9999999206635601
SNIHT,surrogate_arip_v1,0.89,0.001423753798007965,0.9999979006461082
SNIHT,surrogate_arip_v1,0.9,0.001446560025215149,0.9999988923157952
SNIHT,surrogate_arip_v1,0.91,0.0014694631099700928,0.9999973759371391
SNIHT,surrogate_arip_v1,0.92,0.0014924779534339905,0.9999994998895072
SNIHT,surrogate_arip_v1,0.93,0.0015155896544456482,0.9999998724776935
SNIHT,surrogate_arip_v1,0.94,0.001538798213005066,0.9999989176053373
SNIHT,surrogate_arip_v1,0.95,0.0015621110796928406,0.9999997372012456
SNIHT,surrogate_arip_v1,0.96,0.0015855208039283752,0.9999999116557761
SNIHT,surrogate_arip_v1,0.97,0.00160902738571167,0.9999997861275467
SNIHT,surrogate_arip_v1,0.98,0.0016326308250427246,0.9999996819467328
SNIHT,surrogate_arip_v1,0.99,0.0016563311219215393,0.999999898193326
SHTP,surrogate_arip_v1,0.01,2.3946166038513184e-05,0.9999277502398111
SHTP,surrogate_arip_v1,0.02,5.527585744857788e-05,0.9999214846433453
SHTP,surrogate_arip_v1,0.03,9.104609489440918e-05,0.9999479274898643
SHTP,surrogate_arip_v1,0.04,0.00013037770986557007,0.9999606298348067
SHTP,surrogate_arip_v1,0.05,0.00017279386520385742,0.9999686786906292
SHTP,surrogate_arip_v1,0.06,0.00021798908710479736,0.999991963985389
SHTP,surrogate_arip_v1,0.07,0.00026573240756988525,0.999999919047349
SHTP,surrogate_arip_v1,0.08,0.00031585246324539185,0.9999967355641153
SHTP,surrogate_arip_v1,0.09,0.0003682151436805725,0.9999902957707659
SHTP,surrogate_arip_v1,0.1,0.0004227161407470703,0.9999948642366897
SHTP,surrogate_arip_v1,0.11,0.0004792511463165283,0.999991289171292
SHTP,surrogate_arip_v1,0.12,0.0005377456545829773,0.9999912697854106
SHTP,surrogate_arip_v1,0.13,0.0005981326103210449,0.9999985699661382
SHTP,surrogate_arip_v1,0.14,0.000660337507724762,0.999998183697309
SHTP,surrogate_arip_v1,0.15,0.00072430819272995,0.9999963462386279
SHTP,surrogate_arip_v1,0.16,0.0007899999618530273,0.9999992504258719
SHTP,surrogate_arip_v1,0.17,0.0008573532104492188,0.9999945396326121
SHTP,surrogate_arip_v1,0.18,0.0009263381361961365,0.9999941287381383
SHTP,surrogate_arip_v1,0.19,0.000996917486190796,0.9999987533891652
SHTP,surrogate_arip_v1,0.2,0.0010690391063690186,0.9999967491881555
SHTP,surrogate_arip_v1,0.21,0.0011426806449890137,0.999997027425621
SHTP,surrogate_arip_v1,0.22,0.0012178048491477966,0.9999960714788887
SHTP,surrogate_arip_v1,0.23,0.0012943893671035767,0.9999985760423029
SHTP,surrogate_arip_v1,0.24,0.0013723969459533691,0.9999993011175652
SHTP,surrogate_arip_v1,0.25,0.0014517977833747864,0.9999971492065868
SHTP,surrogate_arip_v1,0.26,0.0015325769782066345,0.9999977667664666
SHTP,surrogate_arip_v1,0.27,0.0016147047281265259,0.9999983309208019
SHTP,surrogate_arip_v1,0.28,0.0016981586813926697,0.9999993090429988
SHTP,surrogate_arip_v1,0.29,0.0017829090356826782,0.9999975946874284
SHTP,surrogate_arip_v1,0.3,0.0018689483404159546,0.9999990810439537
SHTP,surrogate_arip_v1,0.31,0.001956246793270111,0.9999999046177666
SHTP,surrogate_arip_v1,0.32,0.002044782042503357,0.9999992579315958
SHTP,surrogate_arip_v1,0.33,0.0021345391869544983,0.9999987895006249
SHTP,surrogate_arip_v1,0.34,0.0022255033254623413,0.9999996626821227
SHTP,surrogate_arip_v1,0.35,0.0023176446557044983,0.9999979325504982
SHTP,surrogate_arip_v1,0.36,0.0024109631776809692,0.999999170073459
SHTP,surrogate_arip_v1,0.37,0.0025054290890693665,0.9999992111191602
SHTP,surrogate_arip_v1,0.38,0.002601027488708496,0.9999985632643805
SHTP,surrogate_arip_v1,0.39,0.0026977509260177612,0.9999995641829532
SHTP,surrogate_arip_v1,0.4,0.002795569598674774,0.9999982309953868
SHTP,surrogate_arip_v1,0.41,0.002894483506679535,0.9999985817128326
SHTP,surrogate_arip_v1,0.42,0.0029944702982902527,0.9999985178605142
SHTP,surrogate_arip_v1,0.43,0.0030955225229263306,0.9999996595015082
SHTP,surrogate_arip_v1,0.44,0.003197617828845978,0.9999999125170488
SHTP,surrogate_arip_v1,0.45,0.0033007413148880005,0.9999990250822028
SHTP,surrogate_arip_v1,0.46,0.0034048929810523987,0.9999999241642351
SHTP,surrogate_arip_v1,0.47,0.0035100430250167847,0.999998882142861
SHTP,surrogate_arip_v1,0.48,0.0036161914467811584,0.9999986033842357
SHTP,surrogate_arip_v1,0.49,0.003723330795764923,0.9999999573123098
SHTP,surrogate_arip_v1,0.5,0.003831431269645691,0.9999993740700798
SHTP,surrogate_arip_v1,0.51,0.003940492868423462,0.9999991871668716
SHTP,surrogate_arip_v1,0.52,0.004050500690937042,0.9999987300762179
SHTP,surrogate_arip_v1,0.53,0.004161454737186432,0.9999999964517264
SHTP,surrogate_arip_v1,0.54,0.004273325204849243,0.9999996058899334
SHTP,surrogate_arip_v1,0.55,0.004386112093925476,0.9999994806579475
SHTP,surrogate_arip_v1,0.56,0.004499800503253937,0.9999988818965051
SHTP,surrogate_arip_v1,0.57,0.004614390432834625,0.999999484658751
SHTP,surrogate_arip_v1,0.58,0.004729859530925751,0.9999992966730201
SHTP,surrogate_arip_v1,0.59,0.004846207797527313,0.9999998766945128
SHTP,surrogate_arip_v1,0.6,0.004963412880897522,0.9999992996474872
SHTP,surrogate_arip_v1,0.61,0.005081474781036377,0.9999990258025598
SHTP,surrogate_arip_v1,0.62,0.005200386047363281,0.9999993054564161
SHTP,surrogate_arip_v1,0.63,0.005320131778717041,0.9999993135418633
SHTP,surrogate_arip_v1,0.64,0.005440704524517059,0.9999992822019292
SHTP,surrogate_arip_v1,0.65,0.005562096834182739,0.9999994027185105
SHTP,surrogate_arip_v1,0.66,0.005684301257133484,0.9999998301753362
SHTP,surrogate_arip_v1,0.67,0.005807302892208099,0.999999744585038
SHTP,surrogate_arip_v1,0.68,0.005931094288825989,0.9999992996173509
SHTP,surrogate_arip_v1,0.69,0.006055675446987152,0.9999995240053461
SHTP,surrogate_arip_v1,0.7,0.0061810314655303955,0.999999575106353
SHTP,surrogate_arip_v1,0.71,0.006307154893875122,0.9999995299980906
SHTP,surrogate_arip_v1,0.72,0.006434038281440735,0.999999445050524
SHTP,surrogate_arip_v1,0.73,0.006561674177646637,0.9999993582286638
SHTP,surrogate_arip_v1,0.74,0.0066900551319122314,0.9999992911510301
SHTP,surrogate_arip_v1,0.75,0.006819173693656921,0.9999992509309865
SHTP,surrogate_arip_v1,0.76,0.00694902241230011,0.9999992318249166
SHTP,surrogate_arip_v1,0.77,0.007079601287841797,0.9999999902441506
SHTP,surrogate_arip_v1,0.78,0.007210887968540192,0.9999999378509676
SHTP,surrogate_arip_v1,0.79,0.007342882454395294,0.9999998266417521
SHTP,surrogate_arip_v1,0.8,0.007475577294826508,0.9999996127348988
SHTP,surrogate_arip_v1,0.81,0.007608972489833832,0.99999996511484
SHTP,surrogate_arip_v1,0.82,0.007743045687675476,0.9999993751481939
SHTP,surrogate_arip_v1,0.83,0.007877811789512634,0.999999903737162
SHTP,surrogate_arip_v1,0.84,0.008013240993022919,0.9999993636471175
SHTP,surrogate_arip_v1,0.85,0.008149348199367523,0.9999997366868368
SHTP,surrogate_arip_v1,0.86,0.008286111056804657,0.9999995616479308
SHTP,surrogate_arip_v1,0.87,0.00842352956533432,0.9999994147469692
SHTP,surrogate_arip_v1,0.88,0.008561603724956512,0.9999998277082939
SHTP,surrogate_arip_v1,0.89,0.008700311183929443,0.9999994027188407
SHTP,surrogate_arip_v1,0.9,0.008839666843414307,0.9999999204181627
SHTP,surrogate_arip_v1,0.91,0.008979648351669312,0.9999999946915221
SHTP,surrogate_arip_v1,0.92,0.009120248258113861,0.9999995188893012
SHTP,surrogate_arip_v1,0.93,0.009261474013328552,0.9999995693388434
SHTP,surrogate_arip_v1,0.94,0.009403318166732788,0.9999999867866182
SHTP,surrogate_arip_v1,0.95,0.009545758366584778,0.9999994680175264
SHTP,surrogate_arip_v1,0.96,0.009688809514045715,0.9999996070691115
SHTP,surrogate_arip_v1,0.97,0.009832456707954407,0.9999996718229057
SHTP,surrogate_arip_v1,0.98,0.009976692497730255,0.9999995158671305
SHTP,surrogate_arip_v1,0.99,0.01012151688337326,0.9999995371203405
SNHTP,surrogate_arip_v1,0.01,5.5730342864990234e-06,0.999345706640534
SNHTP,surrogate_arip_v1,0.02,1.2874603271484375e-05,0.9999506846775217
SNHTP,surrogate_arip_v1,0.03,2.1204352378845215e-05,0.9999166636134788
