experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,2,0.55,71,22,0.30985915492957744,1,37,0.0005103886777183641,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,23,0.323943661971831,1,45,0.000464633024338156,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,23,0.323943661971831,1,37,0.0004864062400748939,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,23,0.323943661971831,1,36,0.0005176294870857443,residual_small
weak_phase,SNIHT,gaussian,2,0.55,71,23,0.323943661971831,1,42,0.0004948419587143842,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,17,0.17708333333333334,0,21,0.0007013794649017017,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,17,0.17708333333333334,1,19,0.0005716083540971491,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,17,0.17708333333333334,1,18,0.0005436513623184707,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,17,0.17708333333333334,1,17,0.0006074262764672225,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,18,0.1875,1,22,0.0005259277595491568,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,18,0.1875,0,20,0.0007332431320046825,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,18,0.1875,1,25,0.0005667074685164408,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,18,0.1875,1,18,0.0004891616185397123,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,19,0.19791666666666666,1,22,0.0005261366387893187,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,19,0.19791666666666666,1,17,0.0006650130736018156,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,19,0.19791666666666666,1,21,0.0005429676938445614,residual_small
weak_phase,SNIHT,gaussian,2,0.75,96,19,0.19791666666666666,0,23,0.0006336736905520747,residual_small
weak_phase,SNIHT,gaussian,2,0.9,116,14,0.1206896551724138,0,13,0.000809704958071759,residual_small
